ATF	1.0
1	5
Calculation applied: None
"Name [Measurement Set Info]=ChlamyLugol10xRuben"
"Plate ID"	"Well Name"	"Site ID"	"MEASUREMENT SET ID"	"Cell Count (ChlamyLugol10xRuben)"
16719	"A01"	1	7249	1495.0
16719	"A01"	2	7249	1287.0
16719	"A01"	3	7249	1051.0
16719	"A01"	4	7249	1402.0
16719	"A01"	5	7249	907.0
16719	"A01"	6	7249	1282.0
16719	"A01"	7	7249	934.0
16719	"A01"	8	7249	1025.0
16719	"A01"	9	7249	1017.0
16719	"A02"	1	7249	1311.0
16719	"A02"	2	7249	822.0
16719	"A02"	3	7249	596.0
16719	"A02"	4	7249	906.0
16719	"A02"	5	7249	578.0
16719	"A02"	6	7249	646.0
16719	"A02"	7	7249	540.0
16719	"A02"	8	7249	556.0
16719	"A02"	9	7249	528.0
16719	"A03"	1	7249	2457.0
16719	"A03"	2	7249	1531.0
16719	"A03"	3	7249	1365.0
16719	"A03"	4	7249	1415.0
16719	"A03"	5	7249	1172.0
16719	"A03"	6	7249	1424.0
16719	"A03"	7	7249	1101.0
16719	"A03"	8	7249	1314.0
16719	"A03"	9	7249	1149.0
16719	"A04"	1	7249	2190.0
16719	"A04"	2	7249	1329.0
16719	"A04"	3	7249	1171.0
16719	"A04"	4	7249	1069.0
16719	"A04"	5	7249	987.0
16719	"A04"	6	7249	1155.0
16719	"A04"	7	7249	980.0
16719	"A04"	8	7249	1032.0
16719	"A04"	9	7249	1041.0
16719	"A05"	1	7249	2763.0
16719	"A05"	2	7249	1010.0
16719	"A05"	3	7249	932.0
16719	"A05"	4	7249	846.0
16719	"A05"	5	7249	509.0
16719	"A05"	6	7249	929.0
16719	"A05"	7	7249	505.0
16719	"A05"	8	7249	537.0
16719	"A05"	9	7249	410.0
16719	"A06"	1	7249	2301.0
16719	"A06"	2	7249	1247.0
16719	"A06"	3	7249	1385.0
16719	"A06"	4	7249	1299.0
16719	"A06"	5	7249	955.0
16719	"A06"	6	7249	1197.0
16719	"A06"	7	7249	1055.0
16719	"A06"	8	7249	987.0
16719	"A06"	9	7249	1003.0
16719	"A07"	1	7249	1992.0
16719	"A07"	2	7249	1323.0
16719	"A07"	3	7249	1316.0
16719	"A07"	4	7249	1450.0
16719	"A07"	5	7249	1283.0
16719	"A07"	6	7249	1249.0
16719	"A07"	7	7249	1446.0
16719	"A07"	8	7249	1158.0
16719	"A07"	9	7249	1501.0
16719	"A08"	1	7249	2380.0
16719	"A08"	2	7249	1501.0
16719	"A08"	3	7249	1629.0
16719	"A08"	4	7249	1455.0
16719	"A08"	5	7249	1383.0
16719	"A08"	6	7249	1539.0
16719	"A08"	7	7249	1343.0
16719	"A08"	8	7249	1205.0
16719	"A08"	9	7249	1380.0
16719	"A09"	1	7249	1791.0
16719	"A09"	2	7249	1208.0
16719	"A09"	3	7249	1055.0
16719	"A09"	4	7249	1249.0
16719	"A09"	5	7249	955.0
16719	"A09"	6	7249	1063.0
16719	"A09"	7	7249	1061.0
16719	"A09"	8	7249	994.0
16719	"A09"	9	7249	1152.0
16719	"A10"	1	7249	2362.0
16719	"A10"	2	7249	1701.0
16719	"A10"	3	7249	1766.0
16719	"A10"	4	7249	1933.0
16719	"A10"	5	7249	1571.0
16719	"A10"	6	7249	1850.0
16719	"A10"	7	7249	1765.0
16719	"A10"	8	7249	1515.0
16719	"A10"	9	7249	1688.0
16719	"A11"	1	7249	1727.0
16719	"A11"	2	7249	1122.0
16719	"A11"	3	7249	1251.0
16719	"A11"	4	7249	1489.0
16719	"A11"	5	7249	960.0
16719	"A11"	6	7249	1402.0
16719	"A11"	7	7249	1233.0
16719	"A11"	8	7249	863.0
16719	"A11"	9	7249	1173.0
16719	"A12"	1	7249	1338.0
16719	"A12"	2	7249	773.0
16719	"A12"	3	7249	1074.0
16719	"A12"	4	7249	933.0
16719	"A12"	5	7249	690.0
16719	"A12"	6	7249	1454.0
16719	"A12"	7	7249	733.0
16719	"A12"	8	7249	727.0
